Reference_Text,Ground_Truth,Predicted_Summary
"SUBJECT: intermittent breathing and coughing problem from over-use of steroids
MESSAGE: My husband was a patient at [LOCATION].  If I understand correctly his room-mate (an older gentleman) had come up for help from West Virginia for what I believe to be the following problem:  he has taken steroids for a protracted period of time and the steroids have caused the following problems in his life: weakness of his leg muscles and additionally he has an intermittent problem with wheezing/coughing/breathing however the [LOCATION] specialists just could not find the cause or how to resolve it.  The ""lung symptoms"" if I understand correctly are suppressed by the steroids to some degree but the steroids are causing problem which I mention above.  Might you have a data base about such problems?   I also am asking if there are any antidotes to the muscle weakness he has from the steroids.  Thanks","Can long term use of steriods cause muscle weakness, and what are the treatments for it?","What are the potential health problems associated with long-term use of steroids, and are there any known antidotes or treatments for these problems?"
"ear drum repair.
 could this be and option or possible to fix a deaf ear im deaf on lef ear i whas born with it and the doctors at my country  could not find a reason why im deaf on the left ear  im hoping that this could may help",What are the treatments for congenital hearing loss?,Can I get an ear drum repair to fix my deaf left ear?
"SUBJECT: Hand Tremors
MESSAGE: I am 77 years old and recently about a couple of years back started with my hand tremors which has gone worse. I can not hold a cup in my hands without spilling the contents. I would appreciate if you could kindly provide me with some advise or any course of treatment. Further I have diabetic which is partially controlled by medications. Sugar varies between 100 to 140.
Thanking you.
Thanking you for your kind assistance.",What are the treatments for hand tremors?,"What are the best ways to manage hand tremors, particularly for a 77-year-old diabetic patient with inconsistent blood sugar levels (ranging from 100 to 140)?"
"SUBJECT: Lichen Planus yrs
MESSAGE: Help help help. I have Lichen Planus and I think at times I might go crazy from the itching. I had once before about 22 yrs ago and it went away after a cycle or two of Prednisone. This time it has been over 15yrs and keeps on. It will not go away. I can not take prednisone any more!!!! It makes me mean. I need some kind of help. I use steroid creams and shots and they ease the lesions and the itching, but after a while it gets really bad again. I a at my wits end. It is all over my feet ankles legs and wrists arms back and butt. help me please!!!!!!!!",What are non-steriod treatments for lichen planus?,"I have Lichen Planus, a chronic skin condition that causes itching and lesions, and I am experiencing persistent symptoms despite previous treatment with Prednisone. I am unable to take Prednisone again due to its side effects and I am seeking alternative treatments to manage my symptoms."
MESSAGE: I am a male in my mid 60's. I was wondering if there is a name for sleep apnea that happens during the daytime when awake?  Any information that helps further explore this will be appreciated.  Thank you in advance for your help.,Can sleep apnea occur during the day when awake?,What is the name for sleep apnea that happens during the daytime when awake?
"ClinicalTrials.gov - Question - general information.
 I have returned from Nigeria. While there, I found out that a relative of mine has an outgrowth that has covered half his face, thus blinding him on one eye. The outgrowth is about the size of three baseballs.
What can you do to help him?
[NAME], [CONTACT]","What are the treatments for facial tumors, and how can I find physician(s) who specialize in it in Nigeria?","What can be done to help a relative of the patient who has an outgrowth covering half of their face, causing blindness in one eye?"
need up todate current treatment programs for advanced cancer plus informaton for hemp oil solutons for ths cancer.   pub med/ 21475304,"What is the latest research on treatments for hepatocellular carcinoma, including hemp oil?",need up todate current treatment programs for advanced cancer plus informaton for hemp oil solutons for ths cancer.
"SUBJECT: reason for denial of script
MESSAGE: my dr.wrote a script for lipoderm patch l,s 5% for my neuropathy.  I wish to know why it was denied and if there is a generic I could get",Is there a generic version of lidoderm?,"Why was my script for Lipoderm patch L,S 5% for neuropathy denied?"
"SUBJECT: drugs for fat reduction
MESSAGE: I'm about to do a movie in another one month and I need to shed a lot of weight for it especially on my arms and thighs. What would you recommend and can it be sent to Nigeria?",What treatments are available for rapid weight loss?,"What drugs can be used for fat reduction, particularly on the arms and thighs, and can they be sent to Nigeria?"
"SUBJECT: my 28 year old daughter has been sick for 5 years. and it is very hard for her..
MESSAGE: I need to find support for my daughter, she been sick for  5 years.. and has lost several jobs. and had several sugeries.. she has diegestive issues.. and cannot eat without getting sick.",Where can I find support groups for people with digestive disorders?,"How can I find support for my 28-year-old daughter who has been sick for 5 years and has lost several jobs and had several surgeries, and has digestive issues that make it difficult for her to eat without getting sick?"
"Fetal skull not closed. We recently found out that our grandchild ,which is unborn and only 3 mos in the womb, has a genetic disorder where the skull is not closed . The doctor says the baby will not survive. Our daughter has been told she could carry the baby to term or could miscarry at anytime. Can you give any information on this subject. We are devastated.",Where can I find information on a baby's skull not closing completely during pregnancy?,What are the chances of a baby born with an open skull surviving?
"SUBJECT: MMR second dosage by mistake
MESSAGE: my daughter got the MMR vaccination at 1 year old, then she got a second dosage by mistake after two weeks froim the first one. is this dangerous to her> Is there anything I can do?",Is an extra dose of MMR vaccine harmful?,Is it dangerous for my daughter to have received a second dose of the MMR vaccine two weeks after the first dose by mistake?
"SUBJECT: Airborne contact dermatitis from methylchloroisothiazolinone in wall paint. Abol
MESSAGE: Hello,  I've read this article (http://www.ncbi.nlm.nih.gov/pubmed/10750849) because I have a dermatis caused by Airborne contact from methylchloroisothiazolinone in wall paint. I knwo since 1 year that I have allergie of methylchloroisothiazolinone but I didn't know it could be airborne so afte rmy husband had paint the bedroom I have begin to have dermatis, eczema and I look after the cause so I heard about airborne contact dermatitis  from methylchloroisothiazolinone in wall paint. I want to know how many times the properties of methylchloroisothiazolinone are in the wall paint ? It is enough to aerate the room and how many time ? Or should we remove the paint on ceiling, wall and painted cabinet ? I read your article about  inactivation by sodium bisulfite, how can we do that ? thanks a lot for your help because none give me answer at hospital about these questions. excuse me for my english!! Best regards,",What are the treatments for contact dermatitis from methylchloroisothiazolinone in paint?,"Hello, I have a dermatitis caused by airborne contact with methylchloroisothiazolinone in wall paint. I want to know how many times the properties of methylchloroisothiazolinone are in the wall paint and how long it takes to aerate the room. Additionally, I read your article on inactivation by sodium bisulfite, how can we do that? Thank you for your help, no one at the hospital has been able to answer my questions."
"Dear Doctors,
Good day, I would like to ask about the possibility to make a Liver transplantation surgery for my uncle. his liver is damaged and need to be replaced so could you please advise me with the possibility to make the surgery and the approximately cost . also any other details should I know.
Your Quick response is highly appreciated and thanks in advance for your cooperation.","Where can I find information on liver transplants, including cost?",What are the possibilities and approximate costs of a liver transplantation surgery for my uncle's damaged liver?
